"";"data"
"4129";"Congratulations LewisFREE WORLDWIDE SHIPPING #LewisHamilton #F1 #TShirthttp://t.co/FsmB3Ulhzq#in #BritishGP http://t.co/K4A30MT9zK"
"4130";"Fabulous drive from #LewisHamilton to win the #BritishGP"
"4131";"RT @Knightganje: #LewisHamilton #Legend #BritishGP"
"4132";"Yesssssss!!!!! @LewisHamilton #winner #BritishGP"
"4133";"“@FansOfSebVettel: Horner to Vettel: ""Some big balls with that move on Alonso.""#F1 #BritishGP [via @cmckinleyF1]”"
"4134";"Congratulations to @LewisHamilton winning the #F1 #Silverstone50 #BritishGP great drive and done us all proud, game on for the championship!"
"4135";"family of the race winner #BritishGP http://t.co/lrq5EYXPCw"
"4136";"Yes @LewisHamilton !! #BritishGP"
"4137";"<U+30A2><U+30ED><U+30F3><U+30BD><U+30E9><U+30A4><U+30F3><U+53D6><U+308A><U+4E0A><U+624B><U+3044><U+306A><U+3002> #BritishGP"
"4138";"@LewisHamilton Said it yesterday, say it again today. Only ever 1 winner <U+0001F60A> ! Awesome drive Lewis #TeamLewis #BritishGP #F1"
"4139";"“@danielt_johnson: I bet Santander are pleased - Lewis: ""Where's the gold trophy man? This one is falling apart!"" #BritishGP” #awkward"
"4140";"Brilliant driving there by @Sebas_Vettel and @danielricciardo! Well driven there!  #BritishGP #Silverstone50"
"4141";"Grats @LewisHamilton for a superb win! #BritishGP #No1 Bring on the German GP"
"4142";"S/O to @LewisHamilton for the #BritishGP win and for gaining points for @MercedesAMGF1 #F1. Now I can't wait for @DjokerNole to end the day"
"4143";"Fantastic win from @LewisHamilton @MercedesAMGF1 #BritishGP #Silverstone #LH44"
"4144";"Lewis Hamilton profita de abandonul lui Nico Rosberg si castiga acasa #f1 #BritishGP http://t.co/5T1MlJwlSS"
"4145";"#BritishGP Result HAM, BOT, RIC, BUT, VET, ALO, MAG, HUL, KVY, VER, PER, GRO, SUT, BIA, KOB, CHI, MAL, ROS, ERI, GUT, MAS, RAI"
"4146";".@AlanJonesMBEASM: ""I'm a racer, let them race!"" - AJ on Vettel and Alonso whinging. Spot on. #BritishGP #ABCF1 #F1"
"4147";"RT @FPatrik99: Ezzel @nico_rosberg továbbra is vezet az összetettben, de csak 4 pont az elonye :( #F1 #BritishGP #GPSilverstone"
"4148";"Great drive from @danielricciardo to grab another podium for @redbullracing #BritishGP #F1 #F1onNBC #SilverstoneGP"
"4149";"RT @chalas: Fantastic @LewisHamilton #BritishGP #F1 #LewisHamilton WINNER!!!! http://t.co/0UJUpwTTVc"
"4150";"'@bbcf1: @LewisHamilton: ""I really needed this result I'm very grateful for it"". http://t.co/iB1KBjYLOz' Well done to Winner of #BritishGP !"
"4151";"“@santanderuk: Students! Redesign the Santander F1 trophy for a chance to win tickets to the 2014 F1 #britishgp #touche"
"4152";"What a great race. Well done Lewis!! Yippie, nice to see Aussie Dan on the podium. Tough luck for Rosberg :( #BritishGP"
"4153";"#BritishGP Uno dei GP più belli di sempre!Peccato per la 5^ posizione,dannato Vettel!@alo_oficial sei davvero un pilota straordinario! 8"
"4154";"@nico_rosberg congratulation for your race! It's so sad for your abandonment in #BritishGP ,but you are the best, bravo! You win the next GP"
"4155";"Congrats @LewisHamilton #F1 well done on getting the gold trophy too #BritishGP"
"4156";"#p1 #silverstone #britishGP #f1 #LewisHamilton @LewisHamilton @LHFanClub @LHTWTC @halle690 http://t.co/s31K8Qi6mR http://t.co/VVApYyCeKj"
"4157";"@Formula1Paddock - the Abbey National logo would have made a better trophy ! #BritishGP"
"4158";"@RidgewayMerc I think the cap you sent me must be a lucky cap for Lewis #BritishGP fabulous racing"
"4159";"#Vettel:""Sapevo che #Alonso si stava lamentando perché oltrepassavo la linea bianca e dunque io ho risposto, questo è accaduto."" #BritishGP"
"4160";"Fans cheer @LewisHamilton as he drives past, victorious in the #BritishGP. @BBCNorthampton live from circuit until 6 http://t.co/OFYjpIugE3"
"4161";"#alonso &amp; #vettel duel. Simply awesome!! Don't know who was wrong, but the audience just loved it. #BritishGP"
"4162";"The Scenes from the #BritishGP #SilverStunners at #Silverstone http://t.co/DSu2oUP7ar"
"4163";"#Wimbledon2014 #BritishGP #tourdefrance #GAA why bother moving off the couch"
"4164";"And @LewisHamilton was the winner, w/ @ValtteriBottas &amp; @danielricciardo  on the #BritishGP podium #Sliverstone50 #F1 http://t.co/9gYnK5eRi6"
"4165";"Brilliant drive @LewisHamilton  #TeamLH  #BritishGP #Silverstone50"
"4166";"#BritishGP Uno dei GP più belli di sempre!Peccato per la 5^ posizione,dannato Vettel!@alo_oficial sei davvero un pilota straordinario! 6"
"4167";"In spite of missing out on his first #BritishGP podium, a very strong drive until the very end by @JensonButton. Still proud! @McLarenF1 #F1"
"4168";"Nice one @LewisHamilton #BritishGP #BringItHome"
"4169";"The #BritishGP might be over but now you can join us on http://t.co/caHIzAT7XX and watch @WaddAirShow with the @rafredarrows &amp; @XH558."
"4170";"But, it's not gold ;) &gt; MT @MercedesAMGF1: That's the one he wanted! Raise it high @LewisHamilton! #F1 #BritishGP http://t.co/gGsSl0xTMs”"
"4171";"Brilliant drive @ValtteriBottas congrats to you &amp; @WilliamsRacing! Great guy Great team! #FlyingFinn #BritishGP"
"4172";"""Pathetic"" - @AlanJonesMBEASM you are tremendous! #F1 #BritishGP"
"4173";"Best day race ever!!!! @LewisHamilton you made day <U+000FE4EA> <U+0001F3C1> <U+000FE4EA> #BritishGP"
"4174";"RT @KieranWatts97: Yess!! Well done Lewis ! #LewisHamilton #BritishGP"
"4175";"RT @katemackay55: Congratulations @ValtteriBottas on a brilliant 2nd place great to see @WilliamsRacing up there #BritishGP #F1"
"4176";"@LewisHamilton Congrats on the win today! Great race. <U+0001F1EC><U+0001F1E7>#BritishGP"
"4177";"Fellow @F1 fans: @LewisHamilton &amp; @MercedesAMGF1 win classic #BritishGP at @SilverstoneUK  (@BBCF1) http://t.co/1ejIS1QQRX #TeamLH #F1 Yay!"
"4178";"When @MsLaurenAustin finds out that @LewisHamilton won!! She'll be over the moon!! #BritishGP"
"4179";"Bloody good race #Silverstone50 #BritishGP #F1"
"4180";"@InsideFerrari you are BELOW @redbullracing .. Bend the knee bitches.. #BritishGP #f1"
"4181";"#BritishGP Uno dei GP più belli di sempre!Peccato per la 5^ posizione,dannato Vettel!@alo_oficial sei davvero un pilota straordinario! 5"
"4182";"Like a scene from World War Z seeing the fans run through the gate and towards the podium #BritishGP #F1"
"4183";"What A Race That Was #BritishGP @LewisHamilton Winning The Home Race #F1 #TeamLH Cheers To @MercedesAMGF1 Again"
"4184";"RT @redbullracing: Christian and @therealdcf1 cruising around @silverstoneUK. Keep rollin' rollin' rollin' rollin'... #BritishGP http://t.c…"
"4185";"Congrats @LewisHamilton brutal lunar drive @SilverstoneUK #BritishGP :-))))"
"4186";"RT @GeorgeDuncan9: Yes Lewis! Great win @LewisHamilton #BritishGP"
"4187";"Where did they get that trophy?  The pound shop! #AskCrofty #BritishGP"
"4188";"If I was highly paranoid and cynical, I'd say there was a Mercedes conspiracy against Mr Rosberg... #BritishGP #F1"
"4189";"YES BOTTAS!!!! <U+0001F64C><U+0001F64C><U+0001F64C> #williamsf1 #fromwhereistand #britishgp @ F1 paddock @ Silverstone http://t.co/0ya1HWaVwr"
"4190";"Well done @LewisHamilton on winning #BritishGP #F1 #Mercedes <U+0001F1EC><U+0001F1E7>"
"4191";"Duelo #Vettel vs @alo_oficial de lo mejor de este año en #formula1 #Silverstone #BritishGP  https://t.co/439BtvvKGb"
"4192";"Yes @LewisHamilton!! #BritishGP  #NeverGiveUp ""He who is not courageous enough to take risks will accomplish nothing in life"" #TheGreatest"
"4193";"On another note that Alonso v Vettel battle was bloody fantastic. #GreatDriving #BritishGP"
"4194";"Great race at #BritishGP and good result. Shame @JensonButton couldn't make it onto the podium but still a good result"
"4195";"British winner at the #BritishGP! Lovely stuff <U+0001F44D> #Hamilton #F1"
"4196";"#BritishGP Uno dei GP più belli di sempre!Peccato per la 5^ posizione,dannato Vettel!@alo_oficial sei davvero un pilota straordinario! 4"
"4197";"Hopefully it's only a bruised ankle for the Iceman &amp; he can get back in the cockpit &amp; back to form soon. #F1 #BritishGP"
"4198";"Lewis Hamilton wins a dramatic #BritishGP as championship leader Nico Rosberg fails to finish. http://t.co/TIiFfQ3z8i http://t.co/vU2OXaaK7y"
"4199";"Where is the gold trophy instead Lewis gets a naff sponsor's trophy #F1 #BritishGP"
"4200";"Well done @LewisHamilton #BritishGP"
"4201";"Get in there <U+0001F3C1> Great race from both Lewis and Jenson nothing like cheering them on home soil #BritishGP #Silverstone50"
"4202";"Resultado historico de Silverstone #BritishGP en la #F1 marcando hoy la segunda victoria de Hamilton y su primer FL http://t.co/AIGhLejpIC"
"4203";"Looks like the #britishgp trophies were fashioned out of the wreckage of Kimi's Ferrari #f1"
"4204";"Lewis Hamilton Back On The Top Spot!!! #TeamLH #LH44 #BritishGP @LewisHamilton #StillIRise"
"4205";"Well done @LewisHamilton and @MercedesAMGF1 great win and great to see a brit win @SilverstoneUK #TeamLH #F1 #BritishGP"
"4206";"Well done Lewis :-D #BritishGP"
"4207";"#BritishGP Uno dei GP più belli di sempre!Peccato per la 5^ posizione,dannato Vettel!@alo_oficial sei davvero un pilota straordinario! 3"
"4208";"@Jason_Goldboy where was @alo_oficial at the #BritishGP? http://t.co/OyTwTUApmc"
"4209";"A big congrats to @ValtteriBottas and our #MercedesFamily @WilliamsRacing too - what a drive that was! #F1 #BritishGP"
"4210";"Magnifique #BritishGP et superbe victoire de @LewisHamilton qui était parti 6e ! Et quel duel entre Vettel et Alonso !! Bon pour la #F1 !"
"4211";"Alonso probably going to hit Vettel with the twist of fate when he next sees him #BritishGP"
"4212";"#BritishGP is over. Now move on to #Wimbledon final. GO NOLE!!! @DjokerNole"
"4213";"#F1 #BritishGP well done to @ValtteriBottas and  @WilliamsRacing. Just needs that top spot to have been on all 3 steps of the podium this yr"
"4214";"Lewis Hamilton wins #BritishGP ahead of Valterri Bottas and Daniel Ricciardo. Nico Rosberg fails to finish"
"4215";"RT @F1grid: British Grand Prix: Hamilton, Bottas, Ricciardo, Button #F1 #FuelYourFire #BritishGP"
"4216";"@MercedesAMGF1 @LewisHamilton congrats guys! Very good job! You're the best once again #BritishGP"
"4217";"@LewisHamilton Made it look easy, good race shame about Nico took away some of the excitement. Well done! #F1 #BritishGP"
"4218";"With @LewisHamilton winning the #BritishGP and now if @rogerfederer can win the #Wimbledon2014 my sporting weekend will be complete."
"4219";"Woo #Hamilton won Yessa what a drive from #BOTTAS and #ricciardo did so well to keep the tyres in check unlucky from button #BritishGP"
"4220";"@MercedesAMGF1: HE'S DONE IT! @LewisHamilton wins the #BritishGP!!!#F1 http://t.co/8oRwYS1wxi”well done new you could do it."
"4221";"What a cheap looking trophy... Very poundland #BritishGp"
"4222";"Lewis' dad, Anthony Hamilton believes that Hamilton would've won the race even if Rosberg never had trouble #F1 #BritishGP"
"4223";"Congrats @LewisHamilton :) home grand prix #BritishGP"
"4224";"The #SILVERstunner got his hands on the GOLD trophy in the end! :) @LewisHamilton @MercedesAMGF1 #TeamLH #F1 #BritishGP"
"4225";"Santander not gonna be sponsoring Lewis Hamilton any time soon.  Well done Lewis on that quote.  #GOLDTROPHY #BritishGP"
"4226";"[F1] Top10 #BritishGP #F1 1.Hamilton, 2.Bottas 3.Ricciardo 4.Button 5.Vettel 6.Alonso 7.Magnussen 8.Hülkenberg 9.Kvyat 10.Vergne"
"4227";"“@sebvettelnews: Red Bull apologize to Vettel for the bad strategy - Rocky: ""Sorry mate we picked the wrong one there."" #BritishGP ” no shit"
"4228";"Fernando Alonso. RT ""@Formula1_com: #F1 Who was your driver of the day for the British Grand Prix?"" #BritishGP"
"4229";"Yes Lewis! Great win @LewisHamilton #BritishGP"
"4230";"Excellent #BritishGP if only @LewisHamilton could have beaten @nico_rosberg on track before nico retired."
"4231";".@LewisHamilton wins the #BritishGP and gets a hideous waste paper basket from Santander... @MauriceHamilton #f1"
"4232";"Team Radio - Sebastian Vettel's response to the team's admitting &amp; apology for the bad strategy: ""I saw."" #BritishGP #F1"
"4233";"RT @alonso_WDC_2014: #F1 What a scrap between Alonso and Vettel. The crowds loved it, We loved it. #BritishGP http://t.co/knkrE0m87I"
"4234";"LOOL &gt;&gt;&gt;""@SportHumour: Lewis Hamilton flying past Nico Rosberg's broken down car like... https://t.co/NpnyrGsS24"" #BritishGP"
"4235";"I really think they should Skype-interview Nicole Scherzinger as well. #BritishGP"
"4236";"Another cracking weekend at the British GP! Even better to see a Brit up there in the top spot! #BritishGP #Hamilton http://t.co/GmZpRr93Ml"
"4237";"#BritishGP Uno dei GP più belli di sempre!Peccato per la 5^ posizione,dannato Vettel!@alo_oficial sei davvero un pilota straordinario! 1"
"4238";"Alonso vs Vettel #f1 #formula1 #silverstone #britishgp #ferrari #redbull #challenge #instavideo #video http://t.co/XlGMprSbW1"
"4239";"Grand-Prix Siege 2014 nach 9/19 Rennen:1. Hamilton 52. Rosberg 33. Ricciardo 1 #f1 #f1sky #BritishGP"
"4240";"#BritishGP Great race, #shittrophies #Santander #F1"
"4241";"Do you think Alonso went too far against Seb on the old main straight, or was it just good, hard racing? #askcrofty @SkySportsF1 #BritishGP"
"4242";"My Danny Boy came 3rd!! Great stuff from Magnussen, Hulk and Kyvat xD Hope Kimi's okay though #BritishGP"
"4243";"RT @Wendyohare: Hamilton on the #BritishGP podium after today's win! http://t.co/HTZvVTl9nh #SkyF1 http://t.co/hmNe2sc733” @RH_1985 just in…"
"4244";"Haha! Lewis went and got the gold trophy anyway, love it! #BritishGP #F1 #TeamLH"
"4245";"I feel so patriotic :) #bbcf1 #BritishGP"
"4246";"@pitchinv Gave us a lot of good racing action. And brought the Championship back as close as it can get #BritishGP #RaceCommentweeter #F1"
"4247";"Bottas is impressive #F1 #Williams #SkyF1 #BritishGP"
"4248";"Well done @ValtteriBottas .. #F1 #Silverstone #BritishGP"
"4249";"@LewisHamilton wins the #BritishGP #44"
"4250";"#congratulations #LewisHamilton winner #Silverstone50 #BritishGP #f1 #makeusproud #England &amp; #andymurray let us down! http://t.co/aMMtUrEWFe"
"4251";"Another #TeamMercedes win at the #BritishGP. Well in Lewis Hamilton."
"4252";"Well done @LewisHamilton and @JensonButton #BritishGP #BackTheBrits"
"4253";"RT @gadget_freak: Great to see @LewisHamilton wanting the proper gold #BritishGP trophy &amp; not the crap plastic one from the sponsor!! #Silv…"
"4254";"Lezioni di guida oggi per #vettel dal professore @alo_oficial - driving lessons today for #vettel by professor #Alonso #BritishGP #ForzaAlo"
"4255";"Little bit of pride seeping out seeing @LewisHamilton win the #BritishGP"
"4256";"That trophy did look flimsy  #BritishGP"
"4257";"FELICIDADES A @LewisHamilton que tras sus altibajos en los últimos días se merecía esta alegría en casa. #BritishGP"
"4258";"RT @MichaelLamonato: Did DC just call everyone ladies? #ABCF1 #F1 #BritishGP"
"4259";"Yess!! Well done Lewis ! #LewisHamilton #BritishGP"
"4260";"Congratulations LewisFREE WORLDWIDE SHIPPING #LewisHamilton #F1 #TShirthttp://t.co/FsmB3Ulhzq #Formula1 #in #BritishGP"
"4261";"Congrats for #HAM moments! 27th Grand Prix Victory! #Hero #JackyStewart #Record @MercedesAMGF1 @LewisHamilton #BritishGP #SilverStunner #F1"
"4262";"Äh? Fail. #BritishGP #SSNHD"
"4263";"Well done @LewisHamilton in the British Grand Prix 2014 <U+0001F44D> restored some pride in the British sports summer #BritishGP #Winner <U+0001F1EC><U+0001F1E7><U+0001F1EC><U+0001F1E7>"
"4264";"La carrera de hoy justificó despertarse a las 8 y aguantar la hora de demora #BritishGP"
"4265";"No exspense spared on the #BritishGP trophies!"
"4266";"RT @OfficialSF1Team: We finish the race with #SuperSutil P13 and #Guti DNF #BritishGP"
"4267";"“@MercedesAMGF1: HE'S DONE IT! @LewisHamilton wins #BritishGP! Get in there you #SilverStunner! #F1 http://t.co/VJCybQymRL” @MercedesBenzMx"
"4268";"Haha Hamilton is understandably disappointed with the naff plastic sponsor trophies ""where's the gold trophy man?"" #F1 #BritishGP"
"4269";"Fantastic @LewisHamilton #BritishGP #F1 #LewisHamilton WINNER!!!! http://t.co/0UJUpwTTVc"
"4270";"RT @rjleek1: Three and a half seconds to change Hamilton's four tyres! My local garage have to order them in first. #BritishGP"
"4271";"#BritishGP Uno dei GP più belli di sempre!Peccato per la 5^ posizione,dannato Vettel!@alo_oficial sei davvero un pilota straordinario!"
"4272";"RT @alexpryke: One consolation for @nico_rosberg is that he doesn't get one of those shit Santander trophies. #TeamRosberg #BritishGP #F1"
"4273";"So happy for @LewisHamilton. Only 4 points behind.  #BritishGP http://t.co/jSePDpDqgO"
"4274";"RT @Toro_RossoUK: Both cars home in the points :) @Dany_Kvyat 9th &amp; @JeanEricVergne 10th. 3 points, thankyou very much. #ForzaScuderiaToroR…"
"4275";"RT @MaxloweLtd: “Lewis Hamilton wins the #BritishGP, his second win at Silverstone and a record equalling 27th race win... http://t.co/cED3…"
"4276";"#BritishGP Faux pas by Hamilton, criticising the trophy from sponsors Santander on the podium?"
"4277";"I love the side of Fernando that just unleashed itself today... Good effort @alo_oficial #BritishGP"
"4278";"Hamilton got the Gold trophy which he wanted #BritishGP"
"4279";"#F1 Championship: ROS [165], HAM [161], RIC [98], ALO [87], BOT [73], VET [70], HUL [63], BUT [55], MAG [35], MAS [30] #BritishGP"
"4280";"We dem Mercedes boyz #LewisHamilton #BritishGP"
"4281";"""@MercedesAMGF1: That's the one he wanted! Raise it high @LewisHamilton - boy did you earn that one! #F1 #BritishGP http://t.co/YxRdEAxPZI"""
"4282";"RT @F1_Madness: Hamilton:Obviously, you never want to see a team mate fall behing. But I needed this result"" #F1 #BritishGP"
"4283";"RT @movistar_F1: Vettel consigue pasar a @alo_oficial gran carrera de los dos!! #F1 #BritishGP http://t.co/kMrvUub2yW"
"4284";"#britishgp wins worst trophy award! #f1 #LewisHamilton #sponsorsaretakingover"
"4285";"Lewis Hamilton stormed to victory to win today's #BritishGP. Read on here to find out what unfolded at Silverstone… http://t.co/e9LqgGcsTa"
"4286";"“@SkySportsF1: Report: Delight for Hamilton who wins an exciting #BritishGP. http://t.co/JDyYjUc6m7 #SkyF1 http://t.co/xe3zDpXmR1” yeehaa!!"
"4287";"RT @MrStanBrooks: For me there's no better result! A British driver winning the 50th British Grand Prix! Well done @LewisHamilton! #SkyF1 #…"
"4288";"Think it's times #F1 brought back some proper trophies for the winners, that one at the #BritishGP looks like a cheap plastic plant plot!! <U+0001F602>"
"4289";"#LewisHamilton #Legend #BritishGP"
"4290";"#Australia is the only nation to have a driver on the podium for the #BritishGP every year since 2009. #AussieGrit"
"4291";"Well done to @JensonButton getting 4th #pinkforpapa #BritishGP #F1 ALWAYS #BelieveInMclaren @McLarenF1 <U+0001F603><U+0001F44F><U+0001F44F><U+0001F44F>"
"4292";"Right @SilverstoneUK, see you again next year! #BritishGP #F1"
"4293";"2nd british Grand Prix victory! Well done @LewisHamilton #proud #F1 #BritishGP"
"4294";"RT @pumamotorsport: It's all fun and games during the podium interviews today. Three very happy guys up there. What a race! #BritishGP"
"4295";"Rosberg giving tips in the garage that helped ease Hamilton to victory; shows the contrast in styles between the two men. #BritishGP #F1"
"4296";"RT @tomsechenko: Well Lewis #BritishGP"
"4297";"#F1  Formula One: Lewis #Hamilton wins #BritishGP http://t.co/Two3vSUC6W"
"4298";"You got to feel for Jenson. He deserved more. Just another corner and he would have been in podium. #BritishGP"
"4299";"#AskCrofty will Pirelli consider changing the compounds for next seasons #BritishGP after the mediums durability?"
"4300";"RT @katemackay55: Urgh the trophy how ugly is that! What happened to the gold trophy?! @LewisHamilton #Winner #BritishGP #F1"
"4301";"Glad Lewis found the proper trophy! #BritishGP"
"4302";"RT @TopGearPh: AND LEWIS HAMILTON WINS! Valtteri Bottas second! Daniel Ricciardo third! That crowd is incredibly loud! #BritishGP #Form…"
"4303";"Fantastic win for @LewisHamilton #BritishGP"
"4304";"#TrophyGate #BritishGP"
"4305";"Val Bottas may be the most demonstrative Fin ever. #F1 #BritishGP"
"4306";"Well that evens things out between the two Merc drivers. They now both have a god awful trophy on the mantle piece #BritishGP #F1"
"4307";"Congrats to Lewis Hamilton! Woop Woop!! <U+0001F601><U+0001F601> #BritishGrandPrix #BritishGP"
"4308";"There's the gold trophy!! The fantastic #BritishGP trophy"
"4309";"Woohoo!! Well home Hamilton!! Heard he won whilst I was up a 20ft pole. #BritishGP #PGL"
"4310";"#Alonso: ""Avevamo un problema all'ala posteriore e abbiamo rischiato il ritiro.""#F1 #BritishGP #GPsilverstone"
"4311";"Sussie Wolff so excited for that 2nd place podium finish for Williams. She can't wait to rip that German track in 2weeks #F1 #BritishGP"
"4312";"Absolutely buzzing! @LewisHamilton #LewisHamilton #TeamLH #F1 #BritishGP <U+0001F1EC><U+0001F1E7>"
"4313";"RT @NOWTVSport: Lewis Hamilton wins the #BritishGP, his second win at Silverstone and a record equalling 27th race win... http://t.co/fxGRK…"
"4314";"Great race,made up for @LewisHamilton,gutted for @JensonButton but was incredible to see the support for his dad #BritishGP #Silverstone<U+0001F3C1><U+0001F6A6><U+0001F1EC><U+0001F1E7>"
"4315";"Congratulations @ValtteriBottas on a brilliant 2nd place great to see @WilliamsRacing up there #BritishGP #F1"
"4316";"RT @pumamotorsport: The joy at @MercedesAMGF1 is contagious! With Brackley just down the road, this home GP win is golden! #BritishGP"
"4317";"Too cute watching Ryan (20 Mths) clap at the TV as @LewisHamilton gets his trophy #F1 #LH44 we knew he could do it #winner #BritishGP #SkyF1"
"4318";"That's the one he wanted! Raise it high @LewisHamilton - boy did you earn that one! #F1 #BritishGP http://t.co/22MTF9OOgs"
"4319";"#teamlh #BritishGP #SilverStunners @MercedesAMGF1 @LewisHamilton What A FANTASTIC RACE FOR LEWIS!! #STILLIRISE #LH44 #NEVERGIVEUP #P1"
"4320";"""Suzy who did an amazing job driving the car on Friday. #EddieJordan"" @BBCF1. What? Those 4 laps? #BritishGP"
"4321";"#BritishGP : #LewisHamilton wins, Rosberg out - gearboxRace delayed after crashBottas 2nd, Ricciardo 3rd, Button 4th #F1 #Formula1"
"4322";"#BritishGP Result: HAM, BOT, RIC, BUTM VET, ALO, MAG, HUL, KVY, VER, PER, GRO, SUT, BIA, KOB, CHI [MAL, ROS, ERI, GUT, MAS, RAI out] #F1"
"4323";"RT @Timmyhucks: Nice to see @santanderuk spent out on the plastic trophys for the #BritishGP #CheapAndNasty #PutSomeEffortIn"
"4324";"I'm sure Seb and Alonso love each other even more after this race #BritishGP"
"4325";"Today's #BritishGP is the best race since the start of the season."
"4326";"Hamilton gewinnt vor Bottas und Ricciardo, Vettel 5. Großes Pech für Nico, Getriebe kaputt in Führung liegend #RTLF1 #BritishGP"
"4327";"What a shit looking trophy for the  #BritishGP  winner. Poor corporate merchandising."
"4328";"Brilliant race from Lewis!!! Its about time he got the good luck #BritishGP"
"4329";"#BritishGP #F1 Result: HAM BOT RIC BUT VET ALO MAG HUL KVY VER PER GRO SUT BIA KOB CHI - Out: MAL ROS ERI GUT MAS RAI"
"4330";"Can anyone share the winner's trophy #BritishGP #F1"
"4331";"Then finished less than a second off his first podium in silverstone...great stuff :D #BritishGP"
"4332";"RT @F1grid: Red Flag: Ferrari say that Raikkonen is ok but they are concerned about his right ankle.  #F1 #FuelYourFire #BritishGP"
"4333";"Como casi siempre Slverstone nos dio una Gran carrera de F1.Racing is life! #Silverstone50 #BritishGP"
"4334";"You ledge @LewisHamilton! What an amazing race. Now time for tennis #BritishGP #F1"
"4335";"@WilliamsRacing @LewisHamilton  Congrats!!!! Stellar job today #BritishGP #F1"
"4336";"RT @cpunk198: #F1 Results: HAM, BOT, RIC, BUTM VET, ALO, MAG, HUL, KVY, VER, PER, GRO, SUT, BIA, KOB, CHI [MAL, ROS, ERI, GUT, MAS, RAI out…"
"4337";"Congratulations LewisFREE WORLDWIDE SHIPPING #LewisHamilton #F1 #TShirthttp://t.co/Qw0lhwuy9d #Formula1 #in #BritishGP"
"4338";"As @LewisHamilton commented on the podium, those #Santander trophies for the #BritishGP look really Micky Mouse!!! #bluepeter #bbcf1"
"4339";"The #BritishGP would be more interesting if they had to queue for petrol at a tesco express behind someone who bought a weeks shopping"
"4340";"Pretty exciting race, brilliant result. Worth the wait :) #BritishGP #SkyF1"
"4341";"Fantastic victory @LewisHamilton and podium for @ValtteriBottas and @danielricciardo #BritishGP, also great battle between Alonso &amp; Vettel!"
"4342";"""@MercedesAMGF1: He salutes the Union Jack from the top step That's a #BritishGP victory for the home hero http://t.co/0pWD36g0g0"" Love this"
"4343";"Loving the #redarrows @Silverstoneuk for #F1 #BritishGP #bestofbritish http://t.co/gBM49KPFGv"
"4344";"En nu overschakelen van de #britishGP naar de #TDF2014!"
"4345";"Vettel and Alonso reminded me of those kiddie fights we used to have in kindergarten. #Kidsincars #BritishGP #Vettel #alonso"
"4346";"Lewis is right, that trophy looks sh1t. Surely Santander have the money for a better trophy. #BritishGP #Silverstone50"
"4347";"@LewisHamilton is right, these sponsor themed trophies are PISS POOR. #F1  #BritishGP"
"4348";"GBP 36 for a cap?? nevermind  #F1 #BritishGP"
"4349";"#Formula1 Podium at #Silverstone 2014. P1 @LewisHamilton, P2 Bottas, P3 Ricciardo. #F1 #BritishGP http://t.co/SfAqqPThDJ"
"4350";"so who won the #BritishGP ?"
"4351";"Woop well done Hamilton!! <U+0001F603><U+0001F389> Shame Button wasn't on the podium though! #F1 #BritishGP"
"4352";"Excellent @LewisHamilton - this is what you deserved!! #SkyF1 #BritishGP"
"4353";"#BritishGP #F1 http://t.co/7VYRmKDWVv"
"4354";"@f1zone @LewisHamilton vs @nico_rosberg : The tide is turning http://t.co/6UeSLNAScA  #BritishGP #Silverstone #F1 #TeamLH @LHFanClub"
"4355";"Kimi has got to stop trying to Rally in an #F1 car. #BritishGP"
"4356";"@santanderuk you cheap skates. Fancy not even paying for a decent trophy for the #BritishGP ."
"4357";"What a cracking race! #BritishGP"
"4358";"So fantastic to hear the British National Anthem being played at @SilverstoneUK #BritishGP @LewisHamilton #SecondWin at Silverstone!!"
"4359";"@LewisHamilton Lmao. ""This things falling to pieces"" #BritishGP"
"4360";"A #BritishGP for Brits to remember. Here are the race results:1. HAM2. BOT3. RIC4. BUT5. VET6. ALO7. MAG8. HUL9. KVY10. VER#F1 <U+0001F1EC><U+0001F1E7>"
"4361";"Todays #F1POTDRaceRate is - What is your opinions on the #F1 #BritishGP ? What is your mark out of 10 and why? Answer and RT please"
"4362";"RT @AlexSayer: What a horrible trophy #BritishGP #Santander"
"4363";"RT @JackLeslieF1: Also what a battle between two great world champions - Vettel and Alonso. Great to watch from Woodcote! #F1 #BritishGP"
"4364";"@LewisHamilton - good lessons learned, great race raced at #BritishGP. Keep it going! http://t.co/btIrTz7q1R"
"4365";"Race re-start ..... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/ApvtmRejMl"
"4366";"Got to feel for Button and Chilton. How it must hurt that they can't feel much of the crowd's support at home. #F1 #BritishGP"
"4367";"RT @rossparryuk: Get in @LewisHamilton, got the perfect result there! #BritishGP #F1 #COMEONLEWIS"
"4368";"RT @Formula1chick: I can't believe it says Lewis...aww! Believe it Lewis... you floored it sunshine!! #BritishGP @LewisHamilton @MercedesAM…"
"4369";"Great drive @JensonButton what an exciting  #BritishGP .#BelieveinMclaren #pinkforpapa"
"4370";"@MercedesAMGF1 @LewisHamilton vs @nico_rosberg : The tide is turning http://t.co/ebXxa4xeVg  #BritishGP #Silverstone #F1 #TeamLH @LHFanClub"
"4371";"Great drive @danielricciardo one of the best grand prixs for a long time #BritishGP"
